Algorithm,version,Shapley Value,Temporal Shapley Value,Standalone Performance,Marginal Performance,Temporal Marginal Performance
Darwin---1.4.5-7.3.0,7.3.0,0.99432,0,221,0,0
Darwin---1.4.5-7.4.0,7.4.0,0.99432,0,221,0,0
Darwin---1.4.5-7.5.0,7.5.0,0.99432,0,221,0,0
Darwin---1.4.5-8.0.0,8.0.0,0.99432,0,221,0,0
Darwin---1.4.5-8.1.0,8.1.0,0.99432,0,221,0,0
Darwin---1.4.5-8.2.0,8.2.0,0.99432,0,221,0,0
Princess---160606-7.0.0,7.0.0,0.92416,0,206,0,0
ET---0.2-6.3.0,6.3.0,0.91705,10.69542,187,0,0
ET---0.2-6.4.0,6.4.0,0.91705,0,187,0,0
ET---0.2-7.0.0,7.0.0,0.91705,0,187,0,0
Equinox---5.0-6.3.0,6.3.0,0.76755,9.00817,165,0,0
Equinox---5.0-6.4.0,6.4.0,0.76755,0,165,0,0
Equinox---5.0-7.0.0,7.0.0,0.76755,0,165,0,0
Princess---150706-6.4.0,6.4.0,0.7599,0,175,0,0
PyRes---1.2-7.4.0,7.4.0,0.75606,0,176,0,0
PyRes---1.3-7.5.0,7.5.0,0.75606,0,176,0,0
PyRes---1.3-8.0.0,8.0.0,0.75606,0,176,0,0
PyRes---1.3-8.1.0,8.1.0,0.75606,0,176,0,0
PyRes---1.3-8.2.0,8.2.0,0.75606,0,176,0,0
Drodi---3.1.5-8.0.0,8.0.0,0.62313,0,141,0,0
lean-nanoCoP---1.0-7.1.0,7.1.0,0.29219,0,70,0,0
lean-nanoCoP---1.0-7.2.0,7.2.0,0.29219,0,70,0,0
nanoCoP---1.1-7.3.0,7.3.0,0.29219,0,70,0,0
nanoCoP---1.1-7.4.0,7.4.0,0.29219,0,70,0,0
nanoCoP---1.1-7.5.0,7.5.0,0.29219,0,70,0,0
nanoCoP---1.1-8.0.0,8.0.0,0.29219,0,70,0,0
nanoCoP---1.1-8.1.0,8.1.0,0.29219,0,70,0,0
nanoCoP---2.0-8.2.0,8.2.0,0.29219,0,70,0,0
RPx---1.0-8.0.0,8.0.0,0.13273,0,34,0,0
RPx---1.0-8.1.0,8.1.0,0.13273,0,34,0,0
RPx---1.0-8.2.0,8.2.0,0.13273,0,34,0,0
