Algorithm,version,Shapley Value,Temporal Shapley Value,Standalone Performance,Marginal Performance,Temporal Marginal Performance
Zipperpin---1.4-7.1.0,7.1.0,7.73697,0,2561,0,0
Zipperpin---1.4-7.2.0,7.2.0,7.73697,0,2561,0,0
nanoCoP---1.1-8.1.0,8.1.0,7.73245,0,2409,0,0
Twee---2.4-8.1.0,8.1.0,7.71595,2,1495,0,2
CSE---1.3-7.5.0,7.5.0,7.70984,0,2242,0,0
Prover9---1109a-8.1.0,8.1.0,7.68803,1,1968,0,1
Prover9---1109a-8.2.0,8.2.0,7.68803,0,1968,0,0
Beagle---0.9.47-8.1.0,8.1.0,7.63407,0,2548,0,0
Beagle---0.9.47-8.2.0,8.2.0,7.63407,0,2548,0,0
Beagle---0.9.47-7.3.0,7.3.0,7.61603,0.07294,2542,0,0
Beagle---0.9.47-7.4.0,7.4.0,7.61603,0,2542,0,0
Beagle---0.9.47-7.5.0,7.5.0,7.61603,0,2542,0,0
Beagle---0.9.47-8.0.0,8.0.0,7.61603,0,2542,0,0
Beagle---0.9.32-6.4.0,6.4.0,7.60985,0,2542,0,0
Equinox---6.0.1a-8.0.0,8.0.0,7.60728,0,2410,0,0
Beagle---0.9.47-7.0.0,7.0.0,7.60549,0,2540,0,0
Beagle---0.9.47-7.1.0,7.1.0,7.60549,0,2540,0,0
Beagle---0.9.47-7.2.0,7.2.0,7.60549,0,2540,0,0
CSE---1.4-8.0.0,8.0.0,7.60018,0,2174,0,0
Equinox---6.0.1a-7.3.0,7.3.0,7.59811,0.03448,2406,0,0
Equinox---6.0.1a-7.4.0,7.4.0,7.59811,0,2406,0,0
Equinox---6.0.1a-7.5.0,7.5.0,7.59811,0,2406,0,0
Equinox---6.0.1a-7.1.0,7.1.0,7.59325,0,2405,0,0
Equinox---6.0.1a-7.2.0,7.2.0,7.59325,0,2405,0,0
Beagle---0.9.32-6.3.0,6.3.0,7.57934,102.34151,2536,0,0
CSE---1.4-8.1.0,8.1.0,7.5541,0,2161,0,0
nanoCoP---1.1-7.3.0,7.3.0,7.39868,0,2352,0,0
nanoCoP---1.1-7.4.0,7.4.0,7.39868,0,2352,0,0
nanoCoP---1.1-7.5.0,7.5.0,7.39868,0,2352,0,0
nanoCoP---1.1-8.0.0,8.0.0,7.39868,0,2352,0,0
Twee---2.4.1-8.2.0,8.2.0,7.32919,0,1479,0,0
Equinox---5.0-6.3.0,6.3.0,7.13847,94.88344,2184,0,0
Equinox---5.0-6.4.0,6.4.0,7.0694,0,2152,0,0
Equinox---5.0-7.0.0,7.0.0,7.0694,0,2152,0,0
E-Darwin---1.5-6.3.0,6.3.0,6.92497,93.92446,2319,0,0
E-Darwin---1.5-6.4.0,6.4.0,6.91909,0,2317,0,0
E-Darwin---1.5-7.0.0,7.0.0,6.91909,0,2317,0,0
LEO-II---1.7.0-8.1.0,8.1.0,6.88266,0,2369,0,0
LEO-II---1.7.0-8.2.0,8.2.0,6.88266,0,2369,0,0
E-Darwin---1.5-7.1.0,7.1.0,6.88245,0,2309,0,0
E-Darwin---1.5-7.2.0,7.2.0,6.88245,0,2309,0,0
E-Darwin---1.5-7.3.0,7.3.0,6.88245,0,2309,0,0
E-Darwin---1.5-7.4.0,7.4.0,6.88245,0,2309,0,0
E-Darwin---1.5-7.5.0,7.5.0,6.88245,0,2309,0,0
E-Darwin---1.5-8.0.0,8.0.0,6.88245,0,2309,0,0
E-Darwin---1.5-8.1.0,8.1.0,6.88245,0,2309,0,0
E-Darwin---1.5-8.2.0,8.2.0,6.88245,0,2309,0,0
CSE---1.5-8.2.0,8.2.0,6.66094,0,2115,0,0
LEO-II---1.7.0-7.3.0,7.3.0,6.61629,0.07294,2301,0,0
LEO-II---1.7.0-7.4.0,7.4.0,6.61629,0,2301,0,0
LEO-II---1.7.0-7.5.0,7.5.0,6.61629,0,2301,0,0
LEO-II---1.7.0-8.0.0,8.0.0,6.61629,0,2301,0,0
Darwin---1.4.5-8.1.0,8.1.0,6.61436,0,2145,0,0
Darwin---1.4.5-8.2.0,8.2.0,6.61436,0,2145,0,0
LEO-II---1.7.0-7.0.0,7.0.0,6.60854,0,2300,0,0
