Algorithm,version,Shapley Value,Temporal Shapley Value,Standalone Performance,Marginal Performance,Temporal Marginal Performance
Equinox---6.0.1a-7.3.0,7.3.0,5.86606,0.15254,1683,0,0
Equinox---6.0.1a-7.4.0,7.4.0,5.86606,0,1683,0,0
Equinox---6.0.1a-7.5.0,7.5.0,5.86606,0,1683,0,0
Equinox---6.0.1a-8.0.0,8.0.0,5.86606,0,1683,0,0
Equinox---6.0.1a-7.1.0,7.1.0,5.84427,0,1679,0,0
Equinox---6.0.1a-7.2.0,7.2.0,5.84427,0,1679,0,0
iProverMo---0.7-0.3-6.4.0,6.4.0,5.77657,0,1621,0,0
iProverMo---0.7-0.3-7.0.0,7.0.0,5.77657,0,1621,0,0
iProverMo---0.7-0.3-6.3.0,6.3.0,5.77339,75.84211,1620,0,0
Geo-III---2018C-8.1.0,8.1.0,5.56167,0,1415,0,0
Geo-III---2018C-8.2.0,8.2.0,5.56167,0,1415,0,0
Equinox---5.0-6.3.0,6.3.0,5.49349,68.21953,1359,0,1
Equinox---5.0-6.4.0,6.4.0,5.49349,0,1359,0,0
Equinox---5.0-7.0.0,7.0.0,5.49349,0,1359,0,0
Geo-III---2018C-7.3.0,7.3.0,5.24083,0,1385,0,0
Geo-III---2018C-7.4.0,7.4.0,5.24083,0,1385,0,0
Geo-III---2018C-7.5.0,7.5.0,5.24083,0,1385,0,0
Geo-III---2018C-8.0.0,8.0.0,5.24083,0,1385,0,0
Geo-III---2015E-6.3.0,6.3.0,5.20559,69.2219,1375,0,5
Geo-III---2015E-6.4.0,6.4.0,5.20559,0,1375,0,0
Otter---3.3-8.1.0,8.1.0,5.00937,0,1578,0,0
Otter---3.3-8.2.0,8.2.0,5.00937,0,1578,0,0
SOS---2.0-8.1.0,8.1.0,4.94753,1,1380,0,1
SOS---2.0-8.2.0,8.2.0,4.94753,0,1380,0,0
LEO-II---1.7.0-8.1.0,8.1.0,4.92132,0,1413,0,0
LEO-II---1.7.0-8.2.0,8.2.0,4.92132,0,1413,0,0
iProver-Eq---0.85-6.3.0,6.3.0,4.90323,64.55077,1555,0,0
iProver-Eq---0.85-6.4.0,6.4.0,4.90323,0,1555,0,0
iProver-Eq---0.85-7.0.0,7.0.0,4.90323,0,1555,0,0
iProver-Eq---0.85-7.1.0,7.1.0,4.90323,0,1555,0,0
iProver-Eq---0.85-7.2.0,7.2.0,4.90323,0,1555,0,0
iProver-Eq---0.85-7.3.0,7.3.0,4.90323,0,1555,0,0
iProver-Eq---0.85-7.4.0,7.4.0,4.90323,0,1555,0,0
iProver-Eq---0.85-7.5.0,7.5.0,4.90323,0,1555,0,0
iProver-Eq---0.85-8.0.0,8.0.0,4.90323,0,1555,0,0
iProver-Eq---0.85-8.1.0,8.1.0,4.90323,0,1555,0,0
iProver-Eq---0.85-8.2.0,8.2.0,4.90323,0,1555,0,0
LEO-II---1.6.2-6.3.0,6.3.0,4.82538,63.77349,1394,0,0
LEO-II---1.6.2-6.4.0,6.4.0,4.82538,0,1394,0,0
LEO-II---1.7.0-7.0.0,7.0.0,4.80886,0,1392,0,0
LEO-II---1.7.0-7.1.0,7.1.0,4.80886,0,1392,0,0
LEO-II---1.7.0-7.2.0,7.2.0,4.80886,0,1392,0,0
LEO-II---1.7.0-7.3.0,7.3.0,4.80886,0,1392,0,0
LEO-II---1.7.0-7.4.0,7.4.0,4.80886,0,1392,0,0
LEO-II---1.7.0-7.5.0,7.5.0,4.80886,0,1392,0,0
LEO-II---1.7.0-8.0.0,8.0.0,4.80886,0,1392,0,0
Geo-III---2016C-7.0.0,7.0.0,4.56815,0,1300,0,0
Geo-III---2016C-7.1.0,7.1.0,4.56815,0,1300,0,0
Geo-III---2016C-7.2.0,7.2.0,4.56815,0,1300,0,0
Metis---2.4-8.1.0,8.1.0,4.43544,0,1384,0,0
Metis---2.4-8.2.0,8.2.0,4.43544,0,1384,0,0
SOS---2.0-6.3.0,6.3.0,4.42373,57.58104,1391,0,0
SOS---2.0-6.4.0,6.4.0,4.42373,0,1391,0,0
SOS---2.0-7.0.0,7.0.0,4.42373,0,1391,0,0
SOS---2.0-7.1.0,7.1.0,4.42373,0,1391,0,0
SOS---2.0-7.2.0,7.2.0,4.42373,0,1391,0,0
SOS---2.0-7.3.0,7.3.0,4.42373,0,1391,0,0
SOS---2.0-7.4.0,7.4.0,4.42373,0,1391,0,0
SOS---2.0-7.5.0,7.5.0,4.42373,0,1391,0,0
SOS---2.0-8.0.0,8.0.0,4.42096,0,1390,0,0
Metis---2.4-7.3.0,7.3.0,4.3627,0.15254,1367,0,0
Metis---2.4-7.4.0,7.4.0,4.3627,0,1367,0,0
Metis---2.4-7.5.0,7.5.0,4.3627,0,1367,0,0
Metis---2.4-8.0.0,8.0.0,4.3627,0,1367,0,0
lazyCoP---0.1-8.1.0,8.1.0,4.3429,0,1409,0,0
lazyCoP---0.1-8.2.0,8.2.0,4.3429,0,1409,0,0
lazyCoP---0.1-8.0.0,8.0.0,4.32287,0,1405,0,0
Metis---2.3-6.3.0,6.3.0,4.26713,56.70475,1350,0,0
Metis---2.3-6.4.0,6.4.0,4.26713,0,1350,0,0
Metis---2.3-7.0.0,7.0.0,4.26713,0,1350,0,0
Metis---2.3-7.1.0,7.1.0,4.26713,0,1350,0,0
Metis---2.3-7.2.0,7.2.0,4.26713,0,1350,0,0
iProverMo---2.5-0.1-8.1.0,8.1.0,4.04259,0,1204,0,0
